Date,Dividend
2000-01-04,10500.011
2001-01-02,10500.011
2001-12-27,11550.012
2002-12-27,12600.013
2003-12-29,675.0
2004-12-29,700.0
2005-12-28,800.0
2006-12-27,850.0
2007-12-27,850.0
2008-12-29,550.0
2009-12-29,400.0
2010-12-29,300.0
2014-12-29,300.0
2015-12-29,500.0
2016-12-28,600.0
2017-12-27,1000.0
2018-12-27,1500.0
2019-12-27,1000.0
2020-12-29,1170.0
2021-12-29,1540.0
2022-03-30,300.0
2022-06-29,300.0
2022-09-29,300.0
2022-12-28,300.0
2023-03-30,300.0
2023-06-29,300.0
2023-09-26,300.0
2023-12-27,300.0
2024-03-28,300.0
2024-06-27,300.0
2024-09-27,300.0
2025-02-27,1304.0
2025-05-29,375.0
2025-08-28,375.0
2025-11-27,375.0
2026-02-26,1875.0
2026-05-28,375.0
