Date,Dividend
2000-09-27,0.004267
2000-12-19,0.0082
2003-02-19,0.007867
2003-09-30,0.0144
2004-03-16,0.001533
2004-09-21,0.006667
2005-01-18,0.005433
2005-12-22,0.0154
2006-03-21,0.01076
2006-06-01,0.0112
2007-03-22,0.01424
2007-06-05,0.00192
2007-06-22,0.00672
2007-09-26,0.0326
2007-12-11,0.01056
2008-04-15,0.04076
2008-06-04,0.00028
2008-07-22,0.03864
2008-09-30,0.02852
2009-01-15,0.0066
2009-04-23,0.00824
2009-06-09,0.00116
2009-07-06,0.02316
2009-09-16,0.03376
2009-12-03,0.04696
2010-03-19,0.02468
2010-05-26,8e-05
2010-09-30,0.07196
2010-12-01,0.07308
2011-03-10,0.0668
2011-06-01,0.0018
2011-07-07,0.0494
2011-10-03,0.0792
2012-03-01,0.0914
2012-06-07,0.0026
2012-06-22,0.026
2012-10-01,0.0416
2012-12-27,0.0878
2013-03-06,0.0652
2013-09-16,0.0552
2014-01-15,0.108
2014-04-03,0.057
2014-07-29,0.072
2014-10-28,0.093
2015-01-02,0.048
2015-01-08,0.035
2015-03-02,0.031
2015-06-02,0.033
2015-09-09,0.041
2015-12-22,0.039
2016-02-01,0.027
2016-07-12,0.039
2016-11-01,0.051
2016-12-22,0.067
2017-01-24,0.021
2017-06-26,0.049
2017-12-19,0.096
2018-02-01,0.022
2018-06-18,0.044
2018-12-19,0.083
2019-12-20,0.117
2020-12-18,0.079
2021-01-14,0.015
2021-12-20,0.108
2022-12-20,0.146
2023-12-22,0.147
2024-12-23,0.108
2025-03-18,0.022
2025-05-19,0.024
2025-08-11,0.023
