Date,Open,High,Low,Close,Volume
1999-12-31,17.9375,17.9375,17.6875,17.6875,557700
2000-01-03,17.5625,18.1875,17.4375,17.6875,1509900
2000-01-04,17.3125,17.6875,17.125,17.4375,1787100
2000-01-05,17.5625,17.875,17.4375,17.75,1285100
2000-01-06,17.75,17.8125,17.5,17.75,1139300
2000-01-07,17.8125,17.875,17.25,17.3125,1199900
2000-01-10,17.4375,17.4375,17.25,17.3125,958200
2000-01-11,17.4375,17.8125,17.25,17.625,1914500
2000-01-12,17.375,17.5625,17.25,17.3125,936200
2000-01-13,17.3125,17.625,17.1875,17.1875,1147800
2000-01-14,17.125,17.1875,16.9375,16.9375,1610400
2000-01-18,17.25,17.6875,17.125,17.5625,2341900
2000-01-19,17.4375,17.5,17.25,17.3125,1563100
2000-01-20,17.1875,17.1875,17.0,17.0625,1494700
2000-01-21,17.0625,17.25,17.0,17.125,1387100
2000-01-24,16.9375,17.0,16.4375,16.5625,2586500
2000-01-25,16.8125,16.8125,16.375,16.5,1243200
2000-01-26,16.5,16.625,16.1875,16.25,1271800
2000-01-27,16.3125,17.0,16.1875,16.9375,2678400
2000-01-28,16.875,17.0625,16.25,16.3125,1335000
2000-01-31,16.375,16.5625,16.25,16.375,917700
2000-02-01,16.25,16.3125,15.9375,16.1875,740000
2000-02-02,16.5625,16.8125,16.3125,16.375,1372200
2000-02-03,16.375,16.6875,16.125,16.5625,1819200
2000-02-04,17.25,18.5,17.0,18.375,5253000
2000-02-07,19.0,19.75,17.6875,17.875,6017300
2000-02-08,17.75,17.8125,17.0625,17.25,2302000
2000-02-09,17.875,18.625,17.875,18.4375,2998300
2000-02-10,18.5625,18.75,18.0,18.4375,2499300
2000-02-11,18.25,18.3125,17.6875,18.3125,1831700
2000-02-14,18.1875,18.1875,17.4375,17.5,1322000
2000-02-15,17.4375,17.875,17.1875,17.875,1620200
2000-02-16,18.0625,18.375,17.8125,17.875,1560600
2000-02-17,18.3125,18.375,17.3125,17.3125,1090300
2000-02-18,17.5,18.0,17.4375,17.9375,1744400
2000-02-22,17.6875,18.4375,17.5,18.1875,1687600
2000-02-23,17.75,17.9375,17.125,17.1875,1596800
2000-02-24,17.25,17.3125,16.5625,16.6875,1841000
2000-02-25,16.4375,16.75,16.25,16.6875,1318500
2000-02-28,16.75,16.875,16.4375,16.4375,1220500
2000-02-29,16.625,16.875,16.3125,16.3125,1586400
2000-03-01,16.625,16.625,16.375,16.625,864600
2000-03-02,16.375,16.5,16.0625,16.375,1522400
2000-03-03,16.4375,16.4375,16.25,16.25,1482900
2000-03-06,16.25,16.3125,15.875,16.125,1455400
