Date,Dividend
2000-01-19,0.17
2000-04-18,0.17
2000-07-19,0.17
2000-10-18,0.191
2001-01-17,0.191
2001-04-18,0.191
2001-07-18,0.191
2001-10-17,0.191
2002-01-16,0.201
2002-04-17,0.201
2002-07-17,0.201
2002-10-16,0.201
2003-01-22,0.201
2003-04-15,0.201
2003-07-16,0.201
2003-10-22,0.201
2004-01-21,0.201
2004-04-22,0.212
2004-07-21,0.212
2004-10-21,0.212
2005-01-20,0.212
2005-03-09,0.05
2005-04-22,0.212
2005-07-22,0.223
2005-10-24,0.223
2006-01-23,0.223
2006-04-24,0.223
2006-07-24,0.233
2006-10-23,0.233
2007-01-22,0.233
2007-04-23,0.2333
2007-07-23,0.24
2007-10-22,0.24
2008-01-18,0.24
2008-04-21,0.24
2008-07-21,0.24
2008-10-22,0.24
2009-01-21,0.24
2009-04-29,0.09
2009-07-30,0.09
2009-10-28,0.09
2010-01-28,0.09
2010-04-28,0.09
2010-07-28,0.09
2010-10-27,0.09
2011-01-27,0.09
2011-04-27,0.13
2011-07-27,0.13
2011-10-27,0.13
2012-01-26,0.13
2012-04-26,0.13
2012-07-26,0.13
2012-10-25,0.13
2013-01-24,0.13
2013-04-25,0.15
2013-07-25,0.15
2013-10-24,0.15
2014-01-29,0.15
2014-04-23,0.17
2014-07-25,0.17
2014-10-24,0.17
2015-01-30,0.17
2015-04-30,0.17
2015-07-30,0.17
2015-10-29,0.17
2016-01-29,0.17
2016-04-29,0.17
2016-07-29,0.19
2016-10-28,0.19
2017-01-27,0.19
2017-04-28,0.19
2017-07-28,0.24
2017-10-30,0.24
2018-01-29,0.24
2018-04-30,0.24
2018-07-30,0.28
2018-10-29,0.28
2019-01-25,0.28
2019-04-26,0.28
2019-07-26,0.31
2019-10-25,0.31
2020-01-24,0.31
2020-04-27,0.31
2020-07-24,0.31
2020-10-27,0.31
2021-01-29,0.31
2021-04-27,0.31
2021-07-26,0.34
2021-10-29,0.34
2022-01-28,0.34
2022-04-27,0.34
2022-07-22,0.37
2022-10-26,0.37
2023-01-20,0.37
2023-04-27,0.37
2023-07-27,0.42
2023-10-26,0.42
2024-01-19,0.42
2024-04-25,0.42
2024-07-22,0.47
2024-10-21,0.47
2025-01-27,0.47
2025-04-21,0.47
2025-07-25,0.53
2025-10-27,0.53
2026-01-23,0.53
2026-04-27,0.53
