Date,Dividend
2006-04-26,0.157
2006-05-26,0.16
2006-06-28,0.16
2006-07-27,0.16
2006-08-29,0.162
2006-09-27,0.16
2006-10-27,0.158
2006-11-28,0.16
2006-12-27,0.156
2007-01-29,0.16
2007-02-26,0.16
2007-03-28,0.155
2007-04-26,0.16
2007-05-29,0.165
2007-06-27,0.168
2007-07-27,0.172
2007-08-29,0.171
2007-09-26,0.18
2007-10-29,0.186
2007-11-28,0.182
2007-12-27,0.181
2008-01-29,0.179
2008-02-27,0.178
2008-03-27,0.197
2008-04-28,0.197
2008-05-28,0.202
2008-06-26,0.247
2008-07-29,0.245
2008-08-27,0.237
2008-09-26,0.241
2008-10-29,0.194
2008-11-25,0.198
2008-12-29,0.148
2009-01-28,0.147
2009-02-25,0.096
2009-03-27,0.098
2009-04-28,0.099
2009-05-27,0.106
2009-06-26,0.103
2009-07-29,0.111
2009-08-27,0.11
2009-09-28,0.11
2009-10-28,0.112
2009-11-25,0.113
2009-12-29,0.172
2010-01-27,0.169
2010-02-24,0.172
2010-03-29,0.175
2010-04-28,0.179
2010-05-26,0.167
2010-06-28,0.172
2010-07-28,0.176
2010-08-27,0.768
2010-09-28,0.176
2010-10-27,0.176
2010-11-26,0.177
2010-12-29,0.2
2011-01-27,0.201
2011-02-24,0.202
2011-03-29,0.204
2011-04-27,0.207
2011-05-26,0.204
2011-06-28,0.202
2011-07-27,0.212
2011-08-29,0.202
2011-09-28,0.196
2011-10-27,0.197
2011-11-28,0.191
2011-12-28,0.216
2012-01-27,0.22
2012-02-27,0.22
2012-03-28,0.222
2012-04-26,0.223
2012-05-29,0.214
2012-06-27,0.214
2012-07-27,0.218
2012-08-29,0.222
2012-09-26,0.225
2012-11-28,0.221
2012-12-27,0.224
2013-01-29,0.218
2013-02-26,0.215
2013-03-26,0.215
2013-04-26,0.216
2013-05-29,0.212
2013-06-26,0.209
2013-07-29,0.214
2013-08-28,0.21
2013-10-29,0.211
2013-11-26,0.209
2013-12-27,0.207
2014-01-29,0.197
2014-02-26,0.199
2014-03-27,0.198
2014-04-28,0.199
2014-05-28,0.203
2014-06-26,0.224
2014-07-29,0.222
2014-08-27,0.219
2014-09-26,0.216
2014-10-29,0.215
2014-11-25,0.213
2014-12-29,0.086
2015-01-28,0.081
2015-02-25,0.08
2015-03-27,0.08
2015-04-28,0.083
2015-05-27,0.08
2015-06-26,0.081
2015-07-21,0.077
2015-08-19,0.077
2023-09-14,0.017
2023-12-14,0.017
2024-03-14,0.017
2024-06-14,0.016
2024-09-16,0.017
2024-12-13,0.016
2025-03-14,0.016
2025-06-13,0.017
2026-03-13,0.016
