Date,Dividend
2000-05-30,0.11
2000-11-28,0.11
2001-05-29,0.11
2001-11-28,0.11
2002-05-29,0.11
2002-12-04,0.11
2003-05-28,0.11
2003-11-28,0.11
2004-05-27,0.11
2004-11-26,0.11
2005-05-27,0.11
2005-11-28,0.11
2006-05-30,0.11
2006-11-28,0.11
2007-05-29,0.15
2007-11-28,0.15
2008-05-28,0.2
2008-11-26,0.2
2009-05-27,0.2
2009-11-27,0.2
2010-05-27,0.2
2010-08-27,0.12
2010-11-26,0.12
2011-02-24,0.12
2011-05-27,0.12
2011-08-29,0.12
2011-11-28,0.15
2012-02-27,0.15
2012-05-29,0.2
2012-08-29,0.2
2012-11-28,0.2
2013-02-26,0.2
2013-05-29,0.2
2013-08-28,0.05
2013-11-27,0.05
2014-02-26,0.05
2014-05-28,0.05
2014-08-27,0.05
2014-11-26,0.05
2015-02-25,0.05
2015-05-27,0.05
2015-08-27,0.02
2015-11-27,0.02
2016-02-25,0.02
2016-05-27,0.02
2016-08-29,0.02
2016-11-28,0.02
2017-02-24,0.03
2017-05-26,0.03
2017-08-29,0.03
2017-11-29,0.03
2018-02-27,0.03
2018-05-30,0.03
2018-08-30,0.03
2018-11-29,0.03
2018-12-27,0.07
2019-05-30,0.04
2019-08-29,0.04
2019-11-29,0.05
2020-02-27,0.07
2020-05-28,0.07
2020-08-28,0.08
2020-11-27,0.09
2021-02-26,0.09
2021-05-27,0.23
2021-08-30,0.23
2021-11-29,0.23
2022-02-25,0.1
2022-05-26,0.2
2022-08-30,0.2
2022-11-29,0.15
2023-02-27,0.1
2023-05-30,0.1
2023-08-30,0.1
2023-11-29,0.1
2024-02-28,0.1
2024-05-31,0.1
2024-08-30,0.1
2024-11-29,0.1
2025-02-28,0.1
2025-05-30,0.1
2025-08-29,0.15
2025-11-28,0.175
2026-02-27,0.42
2026-05-29,0.175
