Date,Dividend
2002-02-26,0.000525
2002-03-12,0.014403
2002-03-26,0.000612
2002-04-26,0.000641
2002-05-29,0.000583
2002-06-26,0.000525
2002-07-29,0.000496
2002-08-14,0.005015
2002-08-28,0.000466
2002-09-26,0.000671
2002-10-29,0.000379
2002-11-26,0.000408
2003-03-19,0.010001
2003-03-27,0.000554
2003-04-30,0.000641
2003-05-28,0.000641
2003-06-26,0.000671
2003-07-29,0.000671
2003-08-13,0.007522
2003-08-27,0.000641
2003-09-26,0.000671
2003-10-29,0.000671
2003-11-25,0.000641
2003-12-26,0.029185
2004-01-28,0.000671
2004-02-27,0.004403
2004-03-01,0.000641
2004-04-01,0.000641
2004-05-03,0.000641
2004-06-01,0.000787
2004-07-01,0.000787
2004-08-02,0.000816
2004-08-16,0.009709
2004-09-01,0.000816
2004-10-01,0.000875
2004-11-01,0.000875
2004-12-01,0.000904
2004-12-27,0.024812
2005-01-03,0.000904
2005-02-01,0.000904
2005-03-01,0.000962
2005-03-07,0.019768
2005-04-01,0.000904
2005-05-02,0.000962
2005-06-01,0.001254
2005-07-01,0.001283
2005-08-01,0.001312
2005-08-15,0.017406
2005-09-01,0.001312
2005-10-03,0.001341
2005-11-01,0.001312
2005-12-01,0.001458
2006-01-03,0.001312
2006-02-01,0.001312
2006-03-01,0.001458
2006-03-06,0.056126
2006-04-03,0.001604
2006-05-02,0.001604
2006-07-03,0.001604
2006-08-01,0.001604
2006-08-14,0.020118
2006-11-01,0.001604
2007-01-03,0.001604
2007-02-01,0.001604
2007-03-01,0.093008
2007-04-02,0.003353
2007-05-02,0.001749
2007-06-01,0.001749
2007-07-02,0.001749
2007-08-01,0.001895
2007-08-20,0.024345
2007-09-04,0.001749
2007-10-01,0.001895
2007-11-01,0.002041
2007-11-27,0.011662
2007-12-03,0.002041
2008-01-02,0.002041
2008-02-01,0.002041
2008-02-25,0.1382
2008-03-04,0.002041
2008-04-01,0.002041
2008-05-02,0.002041
2008-06-02,0.002041
2008-07-01,0.002551
2008-08-01,0.002916
2008-08-18,0.033165
2008-09-02,0.002551
2008-10-01,0.002551
2008-11-03,0.002187
2008-11-24,0.060135
2008-12-01,0.001822
2009-01-02,0.013485
2009-02-02,0.001822
2009-03-02,0.001822
2009-03-10,0.034258
2009-04-01,0.001822
2009-05-04,0.001822
2009-06-01,0.002187
2009-07-01,0.002187
2009-08-03,0.002187
2009-08-24,0.038267
2009-09-01,0.002187
2009-10-01,0.002551
2009-11-03,0.002551
2009-12-01,0.002551
2010-01-04,0.002551
2010-02-01,0.002551
2010-02-22,0.077628
2010-03-01,0.002187
2010-04-01,0.002551
2010-05-03,0.002551
2010-06-01,0.002551
2010-07-01,0.002551
2010-08-02,0.002551
2010-08-11,0.051023
2010-09-01,0.002551
2010-10-01,0.002551
2010-11-01,0.002551
2010-12-01,0.002551
2011-01-03,0.049201
2011-02-01,0.002551
2011-03-01,0.002551
2011-03-09,0.083095
2011-04-01,0.002551
2011-05-02,0.002916
2011-06-01,0.002551
2011-07-01,0.002551
2011-08-01,0.002916
2011-08-11,0.06305
2011-08-31,0.002916
2011-10-03,0.002551
2011-11-01,0.002551
2011-12-01,0.002551
2011-12-29,0.05649
2011-12-30,0.002551
2012-02-01,0.002551
2012-03-01,0.091113
2012-04-02,0.002916
2012-05-02,0.002916
2012-06-01,0.002916
2012-07-02,0.002551
2012-08-01,0.002551
2012-08-02,0.049565
2012-08-31,0.002551
2012-10-01,0.002551
2012-11-01,0.002551
2012-12-03,0.002551
2012-12-26,0.053574
2013-01-02,0.002551
2013-02-01,0.002551
2013-03-01,0.002916
2013-03-06,0.069975
2013-04-01,0.002916
2013-05-01,0.002916
2013-06-03,0.002806
2013-07-01,0.002806
2013-08-01,0.002806
2013-08-07,0.048909
2013-08-30,0.002806
2013-10-01,0.002806
2013-11-01,0.002806
2013-12-02,0.002405
2013-12-23,0.034878
2014-01-02,0.002405
2014-02-03,0.002405
2014-02-19,0.086995
2014-03-03,0.002405
2014-04-01,0.002405
2014-05-02,0.002806
2014-06-02,0.002806
2014-07-01,0.003087
2014-08-01,0.003087
2014-08-14,0.063061
2014-08-29,0.003087
2014-10-01,0.003087
2014-11-03,0.002646
2014-12-01,0.002646
2015-01-02,0.002646
2015-02-02,0.002646
2015-02-11,0.138029
2015-03-02,0.002205
2015-03-31,0.002205
2015-05-01,0.002205
2015-06-01,0.002205
2015-06-30,0.002205
2015-08-03,0.002205
2015-08-13,0.044099
2015-09-01,0.001764
2015-10-01,0.001764
2015-11-03,0.001764
2015-12-01,0.001764
2015-12-10,0.024254
2016-01-04,0.001764
2016-02-01,0.001764
2016-02-19,0.072322
2016-03-01,0.001764
2016-04-01,0.001764
2016-05-02,0.001764
2016-06-01,0.001764
2016-07-06,0.002205
2016-08-01,0.002205
2016-08-15,0.054241
2016-09-01,0.002205
2016-10-03,0.002205
2016-11-01,0.002425
2016-12-01,0.00194
2016-12-23,0.068397
2017-01-03,0.00194
2017-02-01,0.002425
2017-02-21,0.120301
2017-03-01,0.002425
2017-04-03,0.002425
2017-05-02,0.002425
2017-06-01,0.002425
2017-07-03,0.002425
2017-08-01,0.002425
2017-08-15,0.061121
2017-09-01,0.002425
2017-10-02,0.002425
2017-11-01,0.002425
2017-12-01,0.002425
2017-12-15,0.021829
2018-01-02,0.002425
2018-02-01,0.002425
2018-02-16,0.336164
2018-03-01,0.002425
2018-04-02,0.002425
2018-05-02,0.00194
2018-06-01,0.00194
2018-07-02,0.00194
2018-08-01,0.00194
2018-08-20,0.086345
2018-09-04,0.00194
2018-10-01,0.00194
2018-11-01,0.00194
2018-12-03,0.002911
2018-12-18,0.002183
2019-01-02,0.002911
2019-02-01,0.002911
2019-02-22,0.354355
2019-03-01,0.002911
2019-04-01,0.002911
2019-05-02,0.002911
2019-06-03,0.002911
2019-07-01,0.002911
2019-08-01,0.002911
2019-08-16,0.139705
2019-09-03,0.002911
2019-10-01,0.002911
2019-11-01,0.002911
2019-12-02,0.002911
2019-12-13,0.006549
2020-01-02,0.002911
2020-02-07,0.002183
2020-02-25,0.157168
2020-03-02,0.002183
2020-04-01,0.002183
2020-05-01,0.002183
2020-06-01,0.002183
2020-07-01,0.002183
2020-08-03,0.002183
2020-08-18,0.007276
2020-09-01,0.002183
2020-10-01,0.002183
2020-11-02,0.002183
2020-12-01,0.002183
2020-12-11,0.008004
2021-01-04,0.002183
2021-01-25,0.006549
2021-02-01,0.002183
2021-02-26,0.018918
2021-03-01,0.002183
2021-03-26,0.007276
2021-04-01,0.002183
2021-04-28,0.008004
2021-05-03,0.002183
2021-05-25,0.006549
2021-06-01,0.002183
2021-07-01,0.002183
2021-08-02,0.002183
2021-08-16,0.014553
2021-09-01,0.002183
2021-10-01,0.002183
2021-11-01,0.002648
2021-11-22,0.041483
2021-12-01,0.002648
2022-01-03,0.002648
2022-02-01,0.002648
2022-02-22,0.002648
2022-02-28,0.00353
2022-04-01,0.00353
2022-05-02,0.00353
2022-06-01,0.002648
2022-07-01,0.002648
2022-08-01,0.002648
2022-08-19,0.053839
2022-09-01,0.002648
2022-10-03,0.002648
2022-11-01,0.002648
2022-12-01,0.002648
2022-12-09,0.082083
2022-12-30,0.002648
2023-02-01,0.002648
2023-03-01,0.002648
2023-03-24,0.047661
2023-04-03,0.00353
2023-05-02,0.00353
2023-06-01,0.00353
2023-06-20,0.047661
2023-07-03,0.00353
2023-08-01,0.00353
2023-09-01,0.002648
2023-09-19,0.047661
2023-10-02,0.00353
2023-11-01,0.00353
2023-12-01,0.00353
2023-12-07,0.043248
2023-12-29,0.00353
2024-02-01,0.00353
2024-02-22,0.198588
2024-03-08,0.002648
2024-03-22,0.080318
2024-03-28,0.002648
2024-05-02,0.002648
2024-06-04,0.002648
2024-06-24,0.038835
2024-07-02,0.002648
2024-08-02,0.002648
2024-09-03,0.002648
2024-09-23,0.041483
2024-10-02,0.002648
2024-11-12,0.002648
2024-12-02,0.002648
2024-12-11,0.047661
2025-01-02,0.002648
2025-02-04,0.002648
2025-02-19,0.241836
2025-03-04,0.002648
2025-04-02,0.002913
2025-05-05,0.002913
2025-06-03,0.002913
2025-06-11,0.057282
2025-07-02,0.002913
2025-08-04,0.002913
2025-08-20,0.065049
2025-09-02,0.002913
2025-10-02,0.002913
2025-11-04,0.002913
2025-12-02,0.002913
2025-12-11,0.393204
2026-01-05,0.003
2026-02-03,0.003
2026-03-03,0.003
2026-03-23,0.068
2026-04-02,0.003
2026-05-05,0.003
