Date,Dividend
2002-02-27,1.460938
2002-08-14,0.648438
2003-02-26,1.641602
2003-08-13,0.693359
2004-03-17,1.697266
2004-08-11,0.760742
2005-03-16,1.762695
2006-03-08,1.59668
2006-08-09,0.78418
2007-03-07,1.801758
2007-08-08,0.890625
2008-03-05,1.900391
2008-08-06,0.879883
2009-06-24,0.868
2009-12-14,1.449
2015-04-02,0.046
2015-08-12,0.047
2016-04-06,0.111
2016-08-10,0.045
2017-04-05,0.108
2017-08-09,0.053
2018-04-19,0.114
2018-08-16,0.056
2019-04-04,0.112
2019-08-09,0.055
2021-04-15,0.032
2021-08-06,0.037
2022-04-07,0.07
2022-08-05,0.039
2023-04-13,0.078
2023-08-04,0.048
2024-04-11,0.093
2024-08-05,0.055
2025-04-11,0.104
2025-08-04,0.066
2026-04-10,0.134
