Date,Open,High,Low,Close,Volume
1999-12-31,35.0,35.5,34.5,35.0,1000
2000-01-03,34.75,34.75,32.75,33.5,9275
2000-01-04,33.25,33.75,33.0,33.25,10600
2000-01-05,33.5,33.75,33.0,33.0,4275
2000-01-06,33.5,33.75,32.75,32.75,4000
2000-01-07,33.25,34.0,33.25,34.0,6850
2000-01-10,34.0,34.25,33.75,34.0,2575
2000-01-11,33.75,34.0,33.25,33.5,6025
2000-01-12,33.25,33.5,33.25,33.5,2525
2000-01-13,33.5,34.0,33.25,33.75,3375
2000-01-14,33.75,34.5,33.25,33.5,7900
2000-01-18,34.0,34.0,33.25,33.25,4525
2000-01-19,33.25,33.5,33.25,33.25,4425
2000-01-20,33.5,33.5,33.25,33.25,6000
2000-01-21,33.5,33.5,33.0,33.0,4750
2000-01-24,33.25,33.5,33.0,33.0,7475
2000-01-25,33.5,33.5,33.0,33.5,8000
2000-01-26,34.0,34.25,33.5,34.0,5825
2000-01-27,34.25,35.0,33.5,35.0,6650
2000-01-28,35.0,35.25,34.5,35.25,7275
2000-01-31,35.5,35.5,34.0,34.5,10900
2000-02-01,34.5,34.5,32.75,33.0,17300
2000-02-02,33.0,33.75,33.0,33.75,19175
2000-02-03,33.5,33.5,32.0,32.25,18850
2000-02-04,32.0,32.75,32.0,32.0,21300
2000-02-07,32.5,32.5,31.25,31.75,13200
2000-02-08,31.25,31.25,30.5,31.0,12875
2000-02-09,31.0,31.0,30.25,31.0,16700
2000-02-10,31.0,31.0,30.5,31.0,15475
2000-02-11,31.0,32.0,30.0,30.5,31850
2000-02-14,30.5,30.5,28.75,29.0,13775
2000-02-15,29.0,31.0,29.0,31.0,13100
2000-02-16,31.0,32.25,31.0,31.75,5225
2000-02-17,31.25,33.0,31.25,32.25,4225
2000-02-18,32.5,32.5,31.75,32.0,9525
2000-02-22,32.0,32.5,31.5,31.75,12625
2000-02-23,32.25,32.25,32.0,32.0,2650
2000-02-24,32.25,32.25,32.0,32.25,2875
2000-02-25,32.0,32.5,32.0,32.5,3875
2000-02-28,32.25,32.25,31.5,31.75,6175
2000-02-29,31.75,32.0,31.5,32.0,14300
2000-03-01,32.0,32.25,31.75,32.0,2600
2000-03-02,32.25,32.25,31.75,32.25,14475
2000-03-03,32.25,33.75,32.0,33.5,13375
2000-03-06,33.0,34.25,33.0,34.0,8725
2000-03-07,34.0,34.0,32.75,32.75,13100
2000-03-08,32.75,34.0,31.75,33.0,20550
2000-03-09,32.5,33.25,31.75,32.5,10050
2000-03-10,33.0,33.0,32.0,32.25,4625
2000-03-13,32.75,34.0,32.5,33.5,6900
2000-03-14,33.5,34.0,33.0,33.0,5175
2000-03-15,33.0,33.5,32.5,33.0,7600
2000-03-16,33.25,33.25,33.0,33.0,7775
2000-03-17,33.25,33.75,33.25,33.5,2950
2000-03-20,33.5,34.75,33.5,34.5,16550
2000-03-21,34.5,34.5,33.5,34.0,23525
2000-03-22,34.0,34.0,33.75,34.0,10375
2000-03-23,34.25,34.25,34.0,34.25,11850
2000-03-24,34.25,34.25,34.0,34.0,5650
2000-03-27,34.75,34.75,34.25,34.5,10475
2000-03-28,35.0,35.5,35.0,35.25,5850
2000-03-29,35.5,35.75,34.75,35.0,5050
2000-03-30,35.5,36.0,35.0,35.75,19950
2000-03-31,36.0,37.0,35.5,36.0,19900
2000-04-03,35.0,36.0,35.0,35.5,11300
2000-04-04,36.0,36.5,34.25,35.5,16975
2000-04-05,35.5,36.25,35.0,36.0,18475
2000-04-06,35.75,36.0,34.25,35.0,7725
2000-04-07,34.75,36.0,34.75,35.25,4400
2000-04-10,35.75,35.75,35.0,35.5,7650
2000-04-11,35.25,35.5,35.0,35.0,3100
2000-04-12,35.5,35.5,35.25,35.25,5350
2000-04-13,35.0,35.5,35.0,35.0,8175
2000-04-14,35.0,35.0,33.0,33.0,12700
2000-04-17,34.0,34.75,33.0,34.0,11400
2000-04-18,34.0,35.25,34.0,35.0,9275
2000-04-19,35.25,35.25,34.25,34.5,11875
2000-04-20,34.5,35.0,34.0,34.75,3850
2000-04-24,34.5,34.75,34.25,34.75,5775
2000-04-25,35.0,35.0,34.0,34.5,5175
2000-04-26,34.75,34.75,34.25,34.5,4400
2000-04-27,34.5,34.5,34.0,34.25,7400
2000-04-28,34.5,34.5,34.0,34.5,6850
2000-05-01,34.75,36.0,34.5,35.0,12400
2000-05-02,35.0,35.0,34.5,34.75,3100
2000-05-03,34.75,35.0,34.25,34.5,9925
2000-05-04,34.75,35.0,34.25,34.5,15250
2000-05-05,35.0,35.25,34.75,35.25,2400
2000-05-08,35.75,35.75,35.0,35.0,7025
2000-05-09,35.0,35.5,35.0,35.5,1400
2000-05-10,35.75,36.0,34.75,34.75,9925
2000-05-11,35.25,35.25,34.0,34.5,13900
2000-05-12,34.5,34.75,33.75,34.0,10750
2000-05-15,34.5,34.75,34.0,34.25,4775
2000-05-16,34.0,34.25,33.75,33.75,5275
2000-05-17,34.0,34.25,33.5,34.0,5025
2000-05-18,34.0,34.0,33.75,33.75,7275
2000-05-19,34.0,34.0,33.5,34.0,9550
2000-05-22,34.0,34.0,33.75,33.75,3700
2000-05-23,33.75,34.25,33.75,34.0,4225
2000-05-24,34.25,34.25,33.75,34.25,14575
2000-05-25,34.25,34.5,34.25,34.25,7875
2000-05-26,34.5,34.5,34.25,34.5,6975
2000-05-30,34.25,34.5,34.0,34.0,7125
2000-05-31,34.0,34.25,33.75,33.75,11350
2000-06-01,33.5,34.25,32.75,33.5,33750
2000-06-02,34.0,34.0,33.25,34.0,24200
2000-06-05,34.25,34.25,34.0,34.0,15850
2000-06-06,34.25,34.5,33.75,34.0,9525
2000-06-07,34.25,34.25,33.75,34.0,8275
2000-06-08,34.25,34.25,34.0,34.0,9300
2000-06-09,34.0,34.25,33.5,34.0,12000
2000-06-12,34.0,34.5,34.0,34.5,6125
2000-06-13,34.5,34.5,34.0,34.25,3125
2000-06-14,34.0,34.5,34.0,34.5,11975
2000-06-15,34.5,35.0,34.25,35.0,10600
2000-06-16,34.5,35.5,34.5,35.25,3775
2000-06-19,35.5,35.75,35.0,35.0,9025
2000-06-20,35.5,35.75,35.25,35.25,4950
2000-06-21,35.5,36.0,35.0,35.25,8075
2000-06-22,35.75,36.25,35.75,36.0,4075
2000-06-23,36.0,37.0,35.75,36.5,8450
2000-06-26,36.5,36.5,36.0,36.25,9425
2000-06-27,36.5,37.5,36.5,37.25,18325
2000-06-28,36.0,36.75,35.75,36.5,14400
2000-06-29,35.5,36.0,34.5,35.75,7475
2000-06-30,35.75,36.5,35.5,35.5,10450
2000-07-03,35.0,36.0,34.5,36.0,7900
2000-07-05,35.25,36.0,34.5,35.5,2625
2000-07-06,35.25,36.0,35.0,35.0,4225
2000-07-07,35.0,35.75,34.75,35.25,2150
2000-07-10,35.25,35.25,35.25,35.25,175
2000-07-11,35.5,35.5,34.25,34.25,6525
2000-07-12,34.25,34.5,34.0,34.25,2000
2000-07-13,33.75,34.5,33.75,34.0,10325
2000-07-14,34.0,34.5,34.0,34.0,3250
2000-07-17,34.25,34.5,33.75,34.25,5350
2000-07-18,34.0,34.25,33.75,34.0,2575
2000-07-19,33.5,34.0,33.5,34.0,4275
