Date,Dividend
2000-04-03,1.4
2000-06-29,1.2
2000-10-05,1.0
2000-12-27,1.0
2001-04-03,1.2
2001-07-02,1.6
2001-10-03,1.8
2001-12-27,2.4
2002-04-03,2.52
2002-07-01,2.72
2002-10-01,2.72
2002-12-27,2.72
2003-03-27,2.4
2003-06-30,2.4
2003-10-01,1.12
2003-12-24,1.88
2004-03-29,2.0
2004-06-30,1.92
2004-09-28,2.0
2004-12-29,2.0
2005-03-30,1.8
2005-06-28,1.44
2005-09-26,0.52
2005-12-28,0.4
2006-03-29,0.44
2006-06-28,0.52
2006-09-27,0.56
2006-12-27,0.76
2007-03-29,0.8
2007-06-28,0.96
2007-09-27,1.04
2007-12-27,1.36
2008-03-26,1.92
2008-06-25,2.2
2008-09-16,2.2
2008-12-26,2.0
2009-03-26,2.0
2009-06-25,2.4
2009-09-29,2.76
2009-12-24,3.0
2010-03-30,2.6
2010-06-25,2.72
2010-09-30,2.72
2010-12-23,2.56
2011-03-29,2.48
2011-06-28,2.6
2011-09-28,2.4
2011-12-27,2.28
2012-03-28,2.2
2012-06-27,2.2
2012-09-27,2.0
2012-12-26,1.8
2013-03-27,1.8
2013-06-27,1.6
2013-09-27,1.4
2013-12-27,1.2
2014-03-28,1.2
2014-06-27,1.2
2014-09-29,1.2
2014-12-29,1.2
2015-03-27,1.2
2015-06-26,1.2
2015-09-28,1.2
2015-12-29,1.2
2016-03-29,1.2
2016-06-28,1.2
2016-07-07,0.144
2016-09-28,1.056
2016-12-28,1.2
2017-03-29,1.2
2017-06-28,1.2
2017-09-28,1.2
2017-12-28,1.2
2018-03-28,1.2
2018-06-28,1.2
2018-09-05,0.888
2018-09-27,0.312
2018-12-28,1.2
2019-03-28,1.2
2019-06-27,1.0
2019-09-27,1.0
2019-12-30,1.0
2020-03-30,1.0
2020-06-29,0.88
2020-09-29,0.88
2020-12-30,0.88
2021-03-30,0.88
2021-06-29,0.88
2021-09-29,0.88
2021-12-30,0.88
2022-03-30,0.88
2022-06-29,0.88
2022-09-29,0.88
2022-12-29,0.88
2023-03-30,0.65
2023-06-29,0.65
2023-09-28,0.65
2023-12-28,0.65
2024-03-27,0.65
2024-06-28,0.65
2024-09-30,0.65
2024-12-31,0.65
2025-03-31,0.7
2025-06-30,0.7
2025-09-30,0.7
2025-12-31,0.7
2026-03-31,0.7
