Date,Dividend
2000-03-23,0.19175
2001-03-22,0.255
2002-03-22,0.237
2003-03-28,0.304
2004-03-26,0.358
2005-04-08,0.431
2006-03-31,0.456
2007-05-04,0.565
2008-05-09,0.834
2009-04-24,0.546
2010-05-07,0.488
2011-05-04,0.571
2012-05-04,0.253
2014-06-19,0.511
2015-05-05,0.159
2016-06-16,0.299
2017-05-24,0.182
2018-05-31,0.236
2019-05-22,0.056
2019-07-29,0.056
2022-05-02,0.021
2022-07-25,0.02
2022-10-24,0.02
2023-01-30,0.022
2023-04-24,0.033
2023-07-24,0.034
2023-10-23,0.032
2024-01-29,0.032
2024-04-22,0.043
2024-07-23,0.032
2024-10-22,0.033
2025-02-04,0.031
2025-05-05,0.046
2025-07-29,0.047
