Date,Dividend
2000-03-24,0.0117
2000-11-17,0.0094
2001-03-21,0.0159
2002-03-13,0.01845
2003-03-26,0.02615
2004-03-17,0.03725
2005-03-10,0.042
2006-03-09,0.0483
2007-03-08,0.0609
2008-03-13,0.0884
2009-03-19,0.1034
2010-03-25,0.1407
2011-03-24,0.1818
2012-03-22,0.2497
2013-03-21,0.3184
2014-03-21,0.415
2015-03-19,0.38
2016-03-18,0.482
2016-08-11,0.2235
2017-03-23,0.3315
2017-08-17,0.237
2018-03-23,0.335
2018-08-17,0.2335
2019-03-22,0.3945
2019-08-16,0.2245
2020-03-27,0.3935
2020-08-14,0.259
2021-03-26,0.4745
2021-08-16,0.2785
2022-03-25,0.518
2022-08-12,0.292
2023-03-24,0.5945
2023-08-18,0.442
2024-03-22,0.93
2024-08-16,0.513
2025-03-31,1.099
2025-08-18,0.584
2026-03-30,1.275
