Date,Dividend
2000-03-13,0.007093
2000-05-24,0.007881
2000-08-11,0.008827
2000-11-30,0.027427
2001-03-14,0.022541
2001-05-24,0.015447
2001-08-13,0.007408
2001-11-30,0.011349
2002-02-13,0.011507
2002-05-16,0.006305
2002-08-09,0.02459
2002-11-15,0.006305
2003-02-14,0.014502
2003-05-23,0.017812
2003-08-11,0.02128
2003-11-07,0.02128
2004-02-19,0.042559
2004-05-17,0.085434
2004-08-11,0.119008
2004-11-08,0.130042
2005-02-15,0.197033
2005-04-27,0.374836
2005-08-03,0.164405
2005-11-08,0.267965
2006-02-13,0.433473
2006-05-12,0.433473
2006-07-31,0.315253
2006-11-14,0.433473
2007-02-09,0.535931
2007-05-14,0.47288
2007-08-10,0.504405
2007-11-05,0.630507
2008-02-08,0.441355
2008-05-12,0.535931
2008-08-18,0.539083
2008-11-14,0.321558
2009-03-09,0.110654
2009-05-11,0.042559
2009-08-04,0.094576
2009-11-03,0.170237
2010-02-17,0.406677
2010-05-10,0.425592
2010-08-10,0.349931
2010-11-12,0.406677
2011-02-11,0.548541
2011-05-02,0.529626
2011-08-15,0.586371
2011-11-14,0.662032
2012-02-13,0.177803
2012-05-09,0.501253
2012-08-13,0.226982
2012-11-06,2.60084
2013-02-11,0.226982
2013-05-06,0.189152
2013-08-05,0.113491
2013-11-05,0.113491
2014-02-13,0.113491
2014-05-22,0.094576
2014-08-13,0.113491
2014-11-06,0.113491
2015-02-12,0.094576
2015-05-11,0.094576
2015-08-11,0.094576
2015-11-06,0.03783
2016-02-11,0.028373
2016-05-06,0.047288
2016-08-09,0.047288
2016-11-07,0.047288
2017-02-10,0.075661
2017-05-15,0.113491
2017-08-07,0.132406
2017-11-07,0.23644
2018-02-12,0.283728
2018-05-08,0.283728
2018-08-07,0.378304
2018-11-06,0.378304
2019-02-08,0.419917
2019-02-11,0.378304
2019-05-02,0.378304
2019-08-07,0.378304
2019-11-06,0.378304
2020-03-09,0.378304
2020-05-12,0.189152
2020-08-11,0.378304
2020-11-09,0.47288
2021-02-09,0.567456
2021-05-10,0.662032
2021-08-11,0.851184
2021-11-09,0.94576
2022-02-14,0.94576
2022-05-16,1.1822
2022-08-10,0.70932
2022-11-08,0.47288
2023-02-13,0.94576
2023-05-08,0.94576
2023-08-08,0.94576
2023-11-07,0.94576
2024-02-12,0.756608
2024-08-09,0.567442
2024-11-06,0.66551
2025-02-11,0.664553
2025-05-02,0.668605
2025-08-15,0.771761
2025-11-12,0.876159
2026-02-10,0.982178
2026-05-13,0.99
