Date,Dividend
2004-06-14,0.082804
2005-06-13,0.308168
2006-06-20,0.376119
2007-06-08,0.444776
2008-07-16,0.495522
2009-07-15,0.453
2010-07-06,0.469
2011-06-29,0.519
2012-07-05,0.502
2013-07-03,0.502
2014-07-14,0.502
2015-06-29,0.728
2016-06-27,0.929
2017-06-26,1.159
2018-06-25,1.345
2019-06-24,1.276
2019-09-19,0.322
2019-12-19,0.41
2020-03-19,0.417
2020-06-18,0.42
2020-09-17,0.427
2020-12-17,0.442
2021-03-17,0.448
2021-06-17,0.451
2021-09-16,0.497
2021-12-16,0.496
2022-03-16,0.49
2022-06-16,0.467
2022-09-15,0.448
2022-12-15,0.451
2023-03-16,0.449
2023-06-15,0.448
2023-09-14,0.471
2023-12-14,0.479
2024-03-18,0.554
2024-06-13,0.544
2024-09-12,0.626
2024-12-12,0.616
2025-03-18,0.684
2025-06-12,0.78
2025-09-16,0.822
2025-12-11,0.835
2026-03-17,0.956
