Date,Dividend
2002-11-14,0.062667
2003-04-17,0.044167
2003-08-28,0.054167
2003-10-16,0.043333
2004-04-15,0.059583
2004-10-14,0.1125
2005-04-15,0.10875
2005-10-17,0.17375
2006-04-13,0.13375
2006-10-20,0.1335
2007-04-17,0.1695
2007-10-19,0.171
2008-04-11,0.259
2008-10-21,0.303
2009-04-16,0.24
2009-10-16,0.24
2010-04-15,0.24
2010-10-15,0.331
2011-01-14,0.189
2011-04-14,0.383
2011-08-12,0.575
2011-10-17,0.579
2012-04-16,0.589
2012-10-17,0.589
2013-04-17,0.437
2013-10-18,0.437
2014-04-15,0.407
2014-10-17,0.14
2015-04-15,0.194
2015-10-16,0.097
2016-12-02,0.049
2017-04-24,0.288
2017-12-22,0.127
2018-03-07,0.151
2018-08-03,0.398
2019-12-27,0.347
2020-09-22,0.457
2021-03-05,0.767
2021-06-24,0.436
2021-09-23,1.559
2022-03-09,0.725
2022-08-12,0.687
2022-12-13,0.056
2023-03-14,0.354
2023-08-14,0.406
2023-11-22,0.469
2024-03-12,0.544
2024-08-05,0.371
2024-12-12,0.091
2025-03-10,0.373
2025-08-13,0.347
2025-12-12,0.668
