Date,Dividend
2004-12-22,0.076125
2005-12-22,0.011375
2006-12-18,0.017
2007-12-14,0.021875
2008-12-22,0.04075
2009-12-22,0.03125
2010-12-22,0.04525
2011-12-21,0.060625
2012-12-20,0.104125
2013-12-20,0.118
2015-09-23,0.123125
2015-12-23,0.050375
2016-03-21,0.050875
2016-06-21,0.04375
2016-09-20,0.050375
2016-12-14,0.054125
2017-03-24,0.045375
2017-06-28,0.05075
2017-09-27,0.052375
2017-12-14,0.054625
2018-03-16,0.04725
2018-06-28,0.061
2018-09-24,0.081125
2018-12-13,0.080125
2019-03-21,0.074625
2019-06-21,0.07975
2019-09-26,0.10425
2019-12-16,0.081375
2020-03-10,0.105125
2020-06-22,0.084375
2020-09-11,0.088375
2020-12-17,0.08625
2021-03-26,0.078625
2021-06-24,0.07325
2021-09-29,0.110875
2021-12-16,0.102625
2022-03-24,0.084625
2022-06-23,0.0745
2022-09-28,0.0955
2022-12-15,0.109
2023-03-24,0.0965
2023-06-29,0.0845
2023-09-28,0.110125
2023-12-19,0.099375
2024-03-22,0.157375
2024-06-28,0.09525
2024-09-27,0.114625
2024-12-18,0.097125
2025-03-25,0.091125
2025-06-26,0.087875
2025-09-24,0.107375
2025-12-17,0.094625
2026-03-24,0.093
