Date,Dividend
2010-09-24,0.558
2010-12-27,0.526
2011-03-25,0.536
2011-06-24,0.57
2011-09-23,0.58
2011-12-23,0.686
2012-03-26,0.57
2012-06-25,0.64
2012-09-24,0.686
2012-12-24,0.94
2013-03-22,0.67
2013-06-24,0.738
2013-09-23,0.786
2013-12-24,0.914
2014-03-24,0.779
2014-06-23,0.809
2014-09-22,0.876
2015-03-23,0.984
2015-06-22,0.902
2015-09-21,0.953
2015-12-21,1.092
2016-03-21,1.006
2016-06-21,0.953
2016-09-13,0.883
2016-12-22,1.296
2017-03-22,0.998
2017-06-23,1.01
2017-09-20,1.176
2017-12-26,1.184
2018-03-26,1.084
2018-06-28,1.157
2018-09-26,1.207
2018-12-17,1.289
2019-03-21,1.455
2019-06-27,1.386
2019-09-26,1.301
2019-12-23,1.429
2020-03-10,1.178
2020-06-29,1.433
2020-09-29,1.309
2020-12-22,1.383
2021-03-26,1.263
2021-06-29,1.333
2021-09-29,1.308
2021-12-21,1.533
2022-03-24,1.374
2022-06-29,1.432
2022-09-28,1.469
2022-12-20,1.672
2023-03-24,1.487
2023-06-29,1.576
2023-09-28,1.493
2023-12-20,1.801
2024-03-22,1.543
2024-06-28,1.784
2024-09-27,1.639
2024-12-23,1.739
2025-03-27,1.812
2025-06-30,1.745
2025-09-29,1.74
2025-12-22,1.771
2026-03-27,1.872
