Date,Dividend
2000-03-29,0.017778
2000-06-28,0.017778
2000-09-27,0.017778
2000-12-27,0.017778
2001-03-28,0.017778
2001-06-27,0.017778
2001-09-26,0.017778
2001-12-27,0.017778
2002-03-26,0.017778
2002-06-26,0.017778
2002-09-26,0.017778
2002-12-27,0.022222
2003-03-27,0.022
2003-06-26,0.022
2003-09-26,0.022
2003-12-29,0.03
2004-03-29,0.03
2004-06-28,0.03
2004-09-28,0.03
2004-12-29,0.03
2005-03-29,0.03
2005-06-28,0.06
2005-09-28,0.06
2005-12-28,0.06
2006-03-29,0.06
2006-06-28,0.06
2006-09-27,0.06
2006-12-27,0.06
2007-03-28,0.06
2007-06-27,0.06
2021-05-21,0.11
2021-08-23,0.11
2021-11-22,0.11
2022-02-23,0.12
2022-05-23,0.12
2022-08-23,0.12
2022-11-22,0.12
2023-03-08,0.12
2023-05-23,0.12
2023-08-23,0.12
2023-11-22,0.12
2024-03-08,0.12
2024-05-23,0.12
2024-08-23,0.12
2024-11-22,0.12
2025-03-10,0.12
2025-05-23,0.12
2025-08-22,0.12
2025-11-24,0.12
2026-03-09,0.12
2026-05-22,0.12
