Date,Dividend
2002-06-28,8.4e-05
2004-05-06,0.011042
2005-06-29,0.005521
2006-06-28,0.011243
2007-03-29,0.011644
2007-06-27,0.00251
2007-10-29,0.005019
2008-06-27,0.010038
2009-06-29,0.008031
2010-06-14,0.013552
2011-01-26,0.007361
2011-06-28,0.015057
2012-01-24,0.006692
2012-06-27,0.01238
2013-01-23,0.00619
2013-06-26,0.017254
2014-01-21,0.009002
2014-07-25,0.015379
2015-01-21,0.015191
2015-07-16,0.020443
2016-01-25,0.013878
2016-07-07,0.002813
2017-02-01,0.005439
2018-01-31,0.006002
2019-01-28,0.005251
2020-01-24,0.007
2021-01-22,0.007
2022-01-21,0.007
2022-04-05,0.033
2023-01-24,0.006
2024-01-23,0.006
2025-01-28,0.069
2025-07-28,0.058
